Run,BioSample,LibraryName,refGenome,refPath
SRR1945435,SAMN03326279,SAMN03326279,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945436,SAMN03326280,SAMN03326280,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945437,SAMN03326281,SAMN03326281,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945438,SAMN03326282,SAMN03326282,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945439,SAMN03326283,SAMN03326283,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945440,SAMN03326284,SAMN03326284,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945441,SAMN03326285,SAMN03326285,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945442,SAMN03326286,SAMN03326286,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945443,SAMN03326287,SAMN03326287,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945444,SAMN03326288,SAMN03326288,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945445,SAMN03326289,SAMN03326289,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945446,SAMN03326290,SAMN03326290,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945451,SAMN03326295,SAMN03326295,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945453,SAMN03326297,SAMN03326297,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945454,SAMN03326298,SAMN03326298,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945455,SAMN03326299,SAMN03326299,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945456,SAMN03326300,SAMN03326300,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945457,SAMN03326301,SAMN03326301,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945458,SAMN03326302,SAMN03326302,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945459,SAMN03326303,SAMN03326303,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945460,SAMN03326304,SAMN03326304,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945461,SAMN03326305,SAMN03326305,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945463,SAMN03326307,SAMN03326307,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945464,SAMN03326308,SAMN03326308,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945465,SAMN03326309,SAMN03326309,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945466,SAMN03326310,SAMN03326310,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945467,SAMN03326311,SAMN03326311,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945468,SAMN03326312,SAMN03326312,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945469,SAMN03326313,SAMN03326313,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945470,SAMN03326314,SAMN03326314,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945471,SAMN03326315,SAMN03326315,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945472,SAMN03326316,SAMN03326316,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945473,SAMN03326317,SAMN03326317,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945474,SAMN03326318,SAMN03326318,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945475,SAMN03326319,SAMN03326319,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945476,SAMN03326320,SAMN03326320,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945477,SAMN03326321,SAMN03326321,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945478,SAMN03326322,SAMN03326322,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945479,SAMN03326323,SAMN03326323,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945480,SAMN03326324,SAMN03326324,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945481,SAMN03326325,SAMN03326325,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945482,SAMN03326326,SAMN03326326,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945483,SAMN03326327,SAMN03326327,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945484,SAMN03326328,SAMN03326328,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945485,SAMN03326329,SAMN03326329,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945486,SAMN03326330,SAMN03326330,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945487,SAMN03326331,SAMN03326331,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945488,SAMN03326332,SAMN03326332,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945489,SAMN03326333,SAMN03326333,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945490,SAMN03326334,SAMN03326334,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945491,SAMN03326335,SAMN03326335,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945492,SAMN03326336,SAMN03326336,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945493,SAMN03326337,SAMN03326337,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945494,SAMN03326338,SAMN03326338,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945495,SAMN03326339,SAMN03326339,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945496,SAMN03326340,SAMN03326340,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945497,SAMN03326341,SAMN03326341,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945498,SAMN03326342,SAMN03326342,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945501,SAMN03326345,SAMN03326345,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945502,SAMN03326346,SAMN03326346,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945503,SAMN03326347,SAMN03326347,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945504,SAMN03326348,SAMN03326348,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1945505,SAMN03326349,SAMN03326349,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
